venue,replicate,backend,run_dir,sample_count,window_t0_epoch,window_endpoint_epoch,sdiag_data_since,context_interpretation,run_median_benchmark_rpc_per_min,run_p95_benchmark_rpc_per_min,run_median_background_rpc_per_min,run_p95_background_rpc_per_min,run_median_main_cycles_per_min,run_p95_main_cycles_per_min,run_median_backfill_cycles_per_min,run_p95_backfill_cycles_per_min,run_median_main_last_cycle_s,run_p95_main_last_cycle_s,run_median_backfill_last_cycle_s,run_p95_backfill_last_cycle_s,run_median_server_threads,run_p95_server_threads,run_median_agent_queue,run_p95_agent_queue,across_run_median_benchmark_rpc_per_min,across_run_p95_benchmark_rpc_per_min,across_run_median_background_rpc_per_min,across_run_p95_background_rpc_per_min,across_run_median_main_cycles_per_min,across_run_p95_main_cycles_per_min,across_run_median_backfill_cycles_per_min,across_run_p95_backfill_cycles_per_min,across_run_median_main_last_cycle_s,across_run_p95_main_last_cycle_s,across_run_median_backfill_last_cycle_s,across_run_p95_backfill_last_cycle_s,across_run_median_server_threads,across_run_p95_server_threads,across_run_median_agent_queue,across_run_p95_agent_queue
phoenix,1,native,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/native,38,1754300005.0,1754311421.14,Mon Aug 04 17:00:00 2026,"benchmark RPC rate is identity-attributable; background RPCs, scheduler cycles, and controller pressure include co-tenants and Slurm housekeeping and are not attributed to a backend",6.2,6.4,95.0,95.0,21.0,21.0,5.0,5.0,0.0037685,0.0039981,0.0788425,0.08212455,2.0,2.0,0.0,0.0,5.800000000000001,5.9,102.5,102.6,21.0,21.1,5.0,5.1,0.00376875,0.0039986,0.078845,0.08212905000000001,2.0,2.0,0.0,0.0
phoenix,1,jobarray,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/jobarray,33,1754312109.1400414,1754322047.236,Mon Aug 04 17:00:00 2026,"benchmark RPC rate is identity-attributable; background RPCs, scheduler cycles, and controller pressure include co-tenants and Slurm housekeeping and are not attributed to a backend",1.8,2.0,105.0,105.0,23.0,23.0,6.0,6.0,0.004469,0.0047396,0.091464,0.0952462,3.0,3.0,0.0,0.0,1.8,2.0,112.5,112.5,23.0,23.0,6.0,6.1,0.0044655,0.0047320999999999995,0.091415,0.0951399,3.0,3.0,0.0,0.0
phoenix,1,hyperqueue,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/hyperqueue,24,1754322735.2360566,1754330048.459,Mon Aug 04 17:00:00 2026,"benchmark RPC rate is identity-attributable; background RPCs, scheduler cycles, and controller pressure include co-tenants and Slurm housekeeping and are not attributed to a backend",0.6,0.6,115.0,115.2,25.0,25.2,7.0,7.17,0.0051684999999999995,0.0054745,0.104076,0.1082791,3.0,4.0,0.0,0.0,0.5,0.6,122.5,122.6,25.0,25.2,7.0,7.085,0.00516575,0.00547085,0.1040375,0.1082275,3.0,4.0,0.0,0.0
phoenix,1,flux,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/flux,27,1754330736.459636,1754338987.001,Mon Aug 04 17:00:00 2026,"benchmark RPC rate is identity-attributable; background RPCs, scheduler cycles, and controller pressure include co-tenants and Slurm housekeeping and are not attributed to a backend",0.6,0.8,125.0,125.0,27.0,27.2,8.0,8.2,0.005866,0.0062133,0.11665,0.1213721,2.0,2.0,1.0,1.0,0.6,0.8,132.5,132.5,27.0,27.1,8.0,8.1,0.0058655,0.00621315,0.116647,0.12136709999999999,2.0,2.0,1.0,1.0
phoenix,1,local,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/local,61,1754339675.0012262,1754358256.609,Mon Aug 04 17:00:00 2026,"benchmark RPC rate is identity-attributable; background RPCs, scheduler cycles, and controller pressure include co-tenants and Slurm housekeeping and are not attributed to a backend",0.0,0.2,135.0,135.2,29.0,29.2,9.0,9.0,0.006557,0.006956,0.129156,0.134517,3.0,3.0,1.0,2.0,0.0,0.2,142.5,142.7,29.0,29.2,9.0,9.1,0.0065605,0.00696225,0.12919999999999998,0.1345964,3.0,3.0,1.0,2.0
phoenix,2,jobarray,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/jobarray,29,1754358944.6093829,1754367911.191,Mon Aug 04 17:00:00 2026,"benchmark RPC rate is identity-attributable; background RPCs, scheduler cycles, and controller pressure include co-tenants and Slurm housekeeping and are not attributed to a backend",1.8,2.0,120.0,120.0,23.0,23.0,6.0,6.2,0.004462,0.0047246,0.091366,0.0950336,3.0,3.0,0.0,0.0,1.8,2.0,112.5,112.5,23.0,23.0,6.0,6.1,0.0044655,0.0047320999999999995,0.091415,0.0951399,3.0,3.0,0.0,0.0
phoenix,2,hyperqueue,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/hyperqueue,27,1754368599.1911237,1754376916.775,Mon Aug 04 17:00:00 2026,"benchmark RPC rate is identity-attributable; background RPCs, scheduler cycles, and controller pressure include co-tenants and Slurm housekeeping and are not attributed to a backend",0.4,0.6,130.0,130.0,25.0,25.2,7.0,7.0,0.005163,0.0054672,0.103999,0.1081759,3.0,4.0,0.0,0.0,0.5,0.6,122.5,122.6,25.0,25.2,7.0,7.085,0.00516575,0.00547085,0.1040375,0.1082275,3.0,4.0,0.0,0.0
phoenix,2,flux,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/flux,27,1754377604.7759116,1754385863.659,Mon Aug 04 17:00:00 2026,"benchmark RPC rate is identity-attributable; background RPCs, scheduler cycles, and controller pressure include co-tenants and Slurm housekeeping and are not attributed to a backend",0.6,0.8,140.0,140.0,27.0,27.0,8.0,8.0,0.005865,0.006213,0.116644,0.12136209999999999,2.0,2.0,1.0,1.0,0.6,0.8,132.5,132.5,27.0,27.1,8.0,8.1,0.0058655,0.00621315,0.116647,0.12136709999999999,2.0,2.0,1.0,1.0
phoenix,2,local,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/local,59,1754386551.6593673,1754404280.33,Mon Aug 04 17:00:00 2026,"benchmark RPC rate is identity-attributable; background RPCs, scheduler cycles, and controller pressure include co-tenants and Slurm housekeeping and are not attributed to a backend",0.0,0.2,150.0,150.2,29.0,29.2,9.0,9.2,0.006564,0.0069685,0.129244,0.13467579999999998,3.0,3.0,1.0,2.0,0.0,0.2,142.5,142.7,29.0,29.2,9.0,9.1,0.0065605,0.00696225,0.12919999999999998,0.1345964,3.0,3.0,1.0,2.0
phoenix,2,native,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/native,38,1754404968.3301551,1754416370.152,Mon Aug 04 17:00:00 2026,"benchmark RPC rate is identity-attributable; background RPCs, scheduler cycles, and controller pressure include co-tenants and Slurm housekeeping and are not attributed to a backend",5.4,5.4,110.0,110.2,21.0,21.2,5.0,5.2,0.0037689999999999998,0.003999099999999999,0.0788475,0.08213355,2.0,2.0,0.0,0.0,5.800000000000001,5.9,102.5,102.6,21.0,21.1,5.0,5.1,0.00376875,0.0039986,0.078845,0.08212905000000001,2.0,2.0,0.0,0.0
